NUMESCALA;C_Abonos;C_Agro-ganadero y alimentario;C_Energético;C_Material de construcción;C_Minerales no metálicos;C_Químicos;C_Siderometalúrgico;C_Vehículos y elementos de transporte;C_Otras mercancías;D_Abonos;D_Agro-ganadero y alimentario;D_Energético;D_Material de construcción;D_Minerales no metálicos;D_Químicos;D_Siderometalúrgico;D_Vehículos y elementos de transporte;D_Otras mercancías
C202000723;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13649.02;0;0
C202000732;0;0;0;409.004;0;0;25.545;0;0;0;0;0;0;0;0;0;0;0
C202000735;0;0;0;0;0;0;0;0;0;0;3500;0;0;0;0;0;0;0
C202000738;0;0;0;0;0;0;0;0;0;0;2836.382;0;0;0;0;0;0;0
C202000740;0;0;0;0;0;0;0;0;0;7128;0;0;0;0;0;0;0;0
C202000743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4785.545;0;0
C202000747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3510.226
C202000750;0;5252.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000751;0;0;0;0;0;4595;0;0;0;0;0;0;0;0;0;0;0;0
C202000756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.515
C202000767;0;0;0;0;0;17260;0;0;0;0;0;0;0;0;0;0;0;0
C202000768;0;0;0;0;0;0;4995.116;0;0;0;0;0;0;0;0;0;0;0
C202000770;0;0;0;0;0;3550;0;0;0;0;0;0;0;0;0;0;0;0
C202000773;0;0;0;0;0;0;0;0;1785.692;0;0;0;0;0;0;0;0;0
C202000774;0;0;0;0;0;0;3966.012;0;0;0;0;0;0;0;0;0;0;0
C202000777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7119;0;0
C202000778;0;0;0;0;0;0;2242.74;0;0;0;0;0;0;0;0;0;0;0
C202000790;0;0;0;0;0;0;5532.482;0;0;0;0;0;0;0;0;0;0;0
C202000796;0;0;0;0.162;0;207.701;1.785;0;0;0;0;0;0;0;0;0;0;0
C202000797;0;0;0;0;0;0;0;0;0;2600.209;0;0;0;0;0;0;0;0
C202000799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9988.495;0;0
C202000802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4799.881;0;0
C202000803;0;0;0;0;0;0;3376.182;0;0;0;0;0;0;0;0;2955.71;0;0
C202000807;0;0;0;0;1861.728;0;0;0;0;0;2575.334;0;0;0;0;0;0;0
C202000812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3826.92;0;0
C202000815;0;0;0;0;0;16996;0;0;0;0;0;0;0;0;0;0;0;0
C202000825;0;0;0;586.134;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000830;0;0;0;0;0;29610;0;0;0;0;0;0;0;0;0;0;0;0
C202000832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3412.52;0;0
C202000835;0;0;0;0;0;0;0;0;0;0;2750;0;0;0;0;0;0;0
C202000836;0;0;0;0;10886.5;0;0;0;0;10500;0;0;0;0;0;0;0;0
C202000844;0;0;0;0;0;0;0;0;118.931;0;0;0;0;0;0;0;0;0
C202000845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3422.909;0;0
